x, y, t, p, sqrt(u^2+v^2), u, v
0.017328, 0.224465, 10, 6.0275, 1.48333, 1.48331, 0.00772371
0.017443, 0.204968, 10, 6.06447, 1.49738, 1.49734, 0.0103583
0.017454, 0.185463, 10, 6.06611, 1.48429, 1.48428, 0.00313983
0.01743, 0.165864, 10, 6.03343, 1.4441, 1.44406, 0.011194
0.017408, 0.146304, 10, 5.96742, 1.3701, 1.37005, 0.0113626
0.017304, 0.126779, 10, 5.89568, 1.27494, 1.2749, -0.0103361
0.017108, 0.107281, 10, 5.83505, 1.15709, 1.15688, -0.0219652
0.016853, 0.087765, 10, 5.78361, 1.00873, 1.00847, -0.0229115
0.017125, 0.067905, 10, 5.74414, 0.82901, 0.828697, -0.0227953
0.018334, 0.0476, 10, 5.71992, 0.61717, 0.616835, -0.0203332
0.018271, 0.026852, 10, 5.70722, 0.372673, 0.372575, -0.00853961
2.18563, 0.035656, 10, 0.0346559, 0.480823, 0.479819, 0.0310631
2.18603, 0.054591, 10, 0.0396106, 0.656413, 0.654584, 0.0489678
2.18519, 0.073738, 10, 0.0459103, 0.817331, 0.812929, 0.0847108
2.18451, 0.093093, 10, 0.0523707, 0.977187, 0.968161, 0.132515
2.18412, 0.112217, 10, 0.0561455, 1.13784, 1.12241, 0.186752
2.1842, 0.131829, 10, 0.0552942, 1.29656, 1.27369, 0.242467
2.18437, 0.151539, 10, 0.0495053, 1.43579, 1.40577, 0.292022
2.1844, 0.170943, 10, 0.0404258, 1.53971, 1.50383, 0.33047
2.18439, 0.190396, 10, 0.0280338, 1.60187, 1.56187, 0.355736
2.18447, 0.210129, 10, 0.0143522, 1.61493, 1.5727, 0.366891
2.18443, 0.22957, 10, 0.00187359, 1.57875, 1.53569, 0.36621
2.18435, 0.249075, 10, -0.00749062, 1.49871, 1.45669, 0.352416
2.18437, 0.268842, 10, -0.0125157, 1.38219, 1.34376, 0.323697
2.18432, 0.2883, 10, -0.0128806, 1.23646, 1.20359, 0.283192
2.18428, 0.307692, 10, -0.00809892, 1.08437, 1.05944, 0.231186
2.18445, 0.327326, 10, -0.00172045, 0.945842, 0.930787, 0.168083
2.18477, 0.346262, 10, 0.00299997, 0.810186, 0.803163, 0.10644
2.18568, 0.364654, 10, 0.00462511, 0.644882, 0.642261, 0.0580831
2.18473, 0.384647, 10, -0.000127553, 0.40802, 0.407923, 0.00888153
2.16656, 0.39213, 10, 0.0100986, 0.267229, 0.266998, 0.0111244
2.14774, 0.391936, 10, 0.0185081, 0.243995, 0.243779, 0.0102717
2.12858, 0.391106, 10, 0.0298916, 0.232224, 0.232161, 0.00540276
2.10898, 0.391054, 10, 0.0490457, 0.218649, 0.218624, 0.00327795
2.08904, 0.391455, 10, 0.0774894, 0.206819, 0.206815, -0.00128658
2.06905, 0.392005, 10, 0.116182, 0.203482, 0.203421, -0.00498656
2.04903, 0.392333, 10, 0.16466, 0.211841, 0.211699, -0.0077753
2.02905, 0.39256, 10, 0.220996, 0.22826, 0.228064, -0.00945753
2.00898, 0.392663, 10, 0.283107, 0.25046, 0.25026, -0.010003
1.9886, 0.392813, 10, 0.348681, 0.274223, 0.27407, -0.0091777
