x,y,u,v,sqrt
0.78, 0.16, -0.0592453, -0.0466502, 0.0754072
0.8, 0.16, -0.0440839, -0.0364225, 0.0571839
0.82, 0.16, -0.031068, -0.0259774, 0.0404975
0.84, 0.16, -0.0204286, -0.0159249, 0.0259023
0.86, 0.16, -0.0122156, -0.00679897, 0.0139803
0.88, 0.16, -0.00631541, 0.000962452, 0.00638832
0.9, 0.16, -0.00247998, 0.00700872, 0.00743454
0.92, 0.16, -0.000360408, 0.0110416, 0.0110475
0.94, 0.16, 0.000464066, 0.0127622, 0.0127706
0.96, 0.16, 0.000464537, 0.0118145, 0.0118236
0.98, 0.16, 0.00014505, 0.00774455, 0.0077459
1, 0.16, 0, 0, 0
0, 0.18, 0, 0, 0
0.02, 0.18, -0.00131988, 0.00489009, 0.00506509
0.04, 0.18, -0.00457072, 0.0102849, 0.0112548
0.06, 0.18, -0.00938953, 0.0158026, 0.0183816
0.08, 0.18, -0.0154793, 0.0214215, 0.026429
0.1, 0.18, -0.022716, 0.0272272, 0.035459
0.12, 0.18, -0.0310866, 0.0332718, 0.0455345
0.14, 0.18, -0.0406156, 0.0395289, 0.0566759
0.16, 0.18, -0.0513116, 0.0458949, 0.068842
0.18, 0.18, -0.0631375, 0.0522029, 0.0819236
0.2, 0.18, -0.0759976, 0.0582351, 0.0957443
0.22, 0.18, -0.089737, 0.063738, 0.110069
0.24, 0.18, -0.104149, 0.0684407, 0.124624
0.26, 0.18, -0.118989, 0.0720787, 0.139118
0.28, 0.18, -0.133991, 0.0744165, 0.153269
0.3, 0.18, -0.148881, 0.0752655, 0.166825
0.32, 0.18, -0.163395, 0.0744953, 0.179576
0.34, 0.18, -0.177287, 0.0720374, 0.191364
0.36, 0.18, -0.190336, 0.0678831, 0.202079
0.38, 0.18, -0.20235, 0.0620776, 0.211658
0.4, 0.18, -0.213167, 0.054713, 0.220076
0.42, 0.18, -0.222654, 0.0459197, 0.22734
0.44, 0.18, -0.230703, 0.0358588, 0.233473
0.46, 0.18, -0.237228, 0.0247162, 0.238513
0.48, 0.18, -0.242154, 0.0126979, 0.242486
0.5, 0.18, -0.245404, 2.91185e-05, 0.245404
0.52, 0.18, -0.246897, -0.013044, 0.247241
0.54, 0.18, -0.24653, -0.0262491, 0.247923
0.56, 0.18, -0.244179, -0.0392801, 0.247318
0.58, 0.18, -0.239701, -0.0517899, 0.245232
0.6, 0.18, -0.232944, -0.0633855, 0.241414
0.62, 0.18, -0.223771, -0.0736309, 0.235574
0.64, 0.18, -0.212092, -0.0820604, 0.227414
0.66, 0.18, -0.19791, -0.0882087, 0.216678
0.68, 0.18, -0.181365, -0.0916571, 0.20321
0.7, 0.18, -0.162771, -0.0920927, 0.187017
0.72, 0.18, -0.142633, -0.089373, 0.16832
0.74, 0.18, -0.121634, -0.0835772, 0.147581
0.76, 0.18, -0.100581, -0.0750315, 0.125484
0.78, 0.18, -0.0803184, -0.0642939, 0.102882
0.8, 0.18, -0.0616328, -0.0520972, 0.0807014
0.82, 0.18, -0.0451591, -0.0392637, 0.0598413
0.84, 0.18, -0.0313169, -0.0266127, 0.0410972
0.86, 0.18, -0.0202864, -0.014883, 0.0251603
0.88, 0.18, -0.0120208, -0.00468959, 0.0129031
